iter	Passed	Remaining
401	13735	105887
402	13772	105873
403	13807	105842
404	13837	105777
405	13872	105755
406	13908	105731
407	13943	105703
408	13979	105683
409	14017	105676
410	14048	105617
411	14082	105585
412	14116	105546
413	14148	105498
414	14186	105489
415	14221	105463
416	14255	105427
417	14290	105400
418	14323	105355
419	14353	105290
420	14390	105278
421	14420	105216
422	14456	105196
423	14489	105153
424	14530	105163
425	14564	105130
426	14596	105083
427	14633	105066
428	14669	105043
429	14701	104999
430	14733	104947
431	14767	104912
432	14801	104876
433	14832	104820
434	14866	104785
435	14899	104739
436	14930	104686
437	14969	104680
438	15000	104629
439	15036	104603
440	15068	104555
441	15101	104516
442	15137	104491
443	15172	104463
444	15210	104454
445	15241	104398
446	15273	104352
447	15305	104304
448	15337	104256
449	15370	104210
450	15404	104175
451	15437	104135
452	15467	104073
453	15502	104047
454	15538	104023
455	15571	103981
456	15607	103957
457	15641	103925
458	15673	103872
459	15707	103837
460	15745	103831
461	15778	103790
462	15814	103768
463	15847	103727
464	15884	103708
465	15918	103674
466	15951	103633
467	15985	103601
468	16019	103561
469	16050	103511
470	16083	103468
471	16122	103463
472	16153	103411
473	16193	103412
474	16227	103380
475	16262	103351
476	16295	103304
477	16328	103264
478	16361	103222
479	16397	103203
480	16434	103185
481	16468	103147
482	16500	103102
483	16534	103069
484	16567	103025
485	16606	103022
486	16636	102961
487	16670	102927
488	16703	102886
489	16734	102832
490	16766	102785
491	16800	102750
492	16833	102707
493	16867	102674
494	16899	102626
495	16930	102573
496	16964	102536
497	16999	102506
498	17031	102464
499	17062	102410
500	17098	102388
501	17131	102347
502	17166	102318
503	17199	102273
504	17230	102225
505	17260	102162
506	17293	102122
507	17325	102078
508	17361	102055
509	17394	102015
510	17441	102057
511	17479	102043
512	17511	101999
513	17547	101975
514	17580	101932
515	17618	101921
516	17651	101877
517	17688	101863
518	17720	101817
519	17752	101767
520	17785	101726
521	17819	101695
522	17855	101670
523	17887	101622
524	17920	101584
525	17951	101532
526	17985	101498
527	18019	101460
528	18052	101420
529	18085	101380
530	18120	101352
531	18154	101319
532	18187	101274
533	18221	101244
534	18256	101212
535	18290	101175
536	18331	101179
537	18366	101150
538	18406	101150
539	18438	101101
540	18479	101108
541	18516	101089
542	18555	101083
543	18587	101036
544	18624	101017
545	18658	100982
546	18694	100959
547	18724	100900
548	18758	100866
549	18795	100848
550	18833	100832
551	18873	100829
552	18910	100811
553	18945	100779
554	18987	100785
555	19024	100770
556	19058	100735
557	19094	100706
558	19129	100679
559	19165	100654
560	19202	100635
561	19239	100613
562	19278	100602
563	19318	100601
564	19354	100573
565	19388	100538
566	19425	100520
567	19467	100524
568	19502	100492
569	19561	100587
570	19599	100570
571	19643	100586
572	19676	100547
573	19711	100515
574	19754	100525
575	19791	100505
576	19831	100497
577	19868	100474
578	19903	100447
579	19938	100415
580	19976	100398
581	20012	100374
582	20050	100353
583	20082	100311
584	20119	100289
585	20153	100250
586	20189	100227
587	20228	100214
588	20261	100170
589	20296	100140
590	20328	100092
591	20359	100045
592	20396	100022
593	20429	99979
594	20462	99940
595	20499	99918
596	20537	99900
597	20571	99865
598	20605	99828
599	20639	99792
600	20674	99759
601	20712	99743
602	20747	99710
603	20785	99694
604	20820	99664
605	20854	99627
606	20894	99620
607	20934	99612
608	20968	99574
609	21001	99534
610	21033	99487
611	21063	99431
612	21099	99407
613	21131	99361
614	21163	99315
615	21205	99313
616	21244	99299
617	21279	99267
618	21320	99266
619	21363	99271
620	21397	99233
621	21436	99221
622	21472	99195
623	21509	99170
624	21549	99160
625	21586	99139
626	21623	99117
627	21658	99086
628	21699	99081
629	21737	99062
630	21775	99040
631	21809	99005
632	21842	98964
633	21876	98928
634	21907	98878
635	21942	98846
636	21976	98806
637	22007	98758
638	22040	98715
639	22074	98678
640	22104	98625
641	22136	98579
642	22168	98534
643	22198	98481
644	22232	98445
645	22266	98408
646	22297	98357
647	22331	98320
648	22363	98277
649	22397	98239
650	22427	98185
651	22460	98145
652	22493	98103
653	22527	98066
654	22563	98037
655	22601	98018
656	22635	97984
657	22672	97961
658	22706	97924
659	22745	97910
660	22784	97892
661	22821	97870
662	22858	97848
663	22896	97825
664	22933	97804
665	22970	97781
666	23005	97748
667	23044	97733
668	23081	97706
669	23120	97691
670	23156	97663
671	23191	97630
672	23223	97588
673	23262	97572
674	23296	97534
675	23328	97489
676	23361	97450
677	23398	97425
678	23433	97392
679	23471	97371
680	23507	97342
681	23540	97301
682	23572	97259
683	23612	97247
684	23646	97207
685	23681	97178
686	23717	97148
687	23754	97126
688	23789	97092
689	23827	97073
690	23864	97044
691	23899	97015
692	23935	96985
693	23969	96947
694	24005	96918
695	24045	96906
696	24082	96881
697	24119	96856
698	24151	96814
699	24182	96765
700	24218	96737
701	24252	96698
702	24284	96655
703	24322	96633
704	24355	96594
705	24392	96567
706	24428	96537
707	24461	96497
708	24498	96474
709	24529	96424
710	24567	96403
711	24602	96371
712	24634	96326
713	24670	96298
714	24704	96261
715	24739	96227
716	24774	96196
717	24806	96150
718	24842	96122
719	24877	96091
720	24909	96046
721	24943	96007
722	24975	95963
723	25011	95935
724	25042	95886
725	25079	95862
726	25116	95835
727	25145	95779
728	25181	95750
729	25217	95723
730	25253	95692
731	25295	95687
732	25338	95684
733	25373	95651
734	25408	95618
735	25445	95594
736	25481	95562
737	25517	95534
738	25549	95491
739	25582	95449
740	25621	95432
741	25655	95396
742	25694	95377
743	25734	95363
744	25767	95324
745	25804	95295
746	25838	95259
747	25874	95231
748	25913	95212
749	25952	95192
750	25984	95150
751	26016	95106
752	26048	95059
753	26083	95028
754	26119	95000
755	26153	94963
756	26189	94931
757	26223	94896
758	26259	94867
759	26293	94830
760	26343	94851
761	26381	94827
762	26418	94801
763	26453	94767
764	26486	94728
765	26525	94708
766	26559	94670
767	26592	94630
768	26627	94599
769	26663	94567
770	26693	94519
771	26726	94478
772	26761	94443
773	26796	94411
774	26825	94357
775	26860	94323
776	26900	94308
777	26939	94287
778	26974	94254
779	27004	94205
780	27040	94173
781	27075	94140
782	27110	94109
783	27147	94082
784	27177	94029
785	27213	94001
786	27248	93967
787	27284	93937
788	27318	93899
789	27351	93861
790	27386	93826
791	27423	93802
792	27460	93772
793	27495	93742
794	27533	93718
795	27569	93689
796	27606	93661
797	27641	93629
798	27681	93612
799	27711	93561
800	27752	93547
801	27792	93532
802	27823	93485
803	27856	93443
804	27892	93413
805	27927	93380
806	27962	93347
807	28000	93322
808	28033	93284
809	28069	93252
810	28103	93215
811	28139	93184
812	28173	93148
813	28210	93122
814	28245	93089
815	28281	93060
816	28315	93022
817	28351	92992
818	28386	92959
819	28418	92916
820	28457	92893
821	28491	92857
822	28523	92812
823	28556	92772
824	28590	92736
825	28630	92719
826	28670	92703
827	28704	92664
828	28742	92640
829	28778	92610
830	28813	92578
831	28848	92545
832	28884	92513
833	28913	92460
834	28950	92434
835	28986	92401
836	29020	92365
837	29054	92329
838	29088	92292
839	29122	92255
840	29157	92221
841	29191	92186
842	29224	92146
843	29255	92099
844	29289	92061
845	29323	92025
846	29356	91986
847	29391	91951
848	29424	91911
849	29458	91876
850	29492	91839
851	29526	91802
852	29557	91757
853	29592	91721
854	29626	91685
855	29661	91652
856	29692	91608
857	29730	91582
858	29760	91534
859	29792	91492
860	29830	91465
861	29866	91435
862	29897	91390
863	29932	91357
864	29967	91322
865	29997	91274
866	30032	91240
867	30066	91204
868	30099	91162
869	30135	91133
870	30166	91089
871	30201	91053
872	30232	91010
873	30265	90970
874	30299	90933
875	30332	90892
876	30363	90848
877	30396	90807
878	30431	90775
879	30465	90738
880	30500	90704
881	30536	90674
882	30567	90629
883	30603	90597
884	30634	90552
885	30668	90518
886	30709	90500
887	30747	90476
888	30785	90450
889	30823	90426
890	30860	90398
891	30897	90370
892	30935	90346
893	30970	90312
894	31006	90281
895	31045	90259
896	31083	90236
897	31124	90218
898	31161	90192
899	31196	90156
900	31227	90113
901	31261	90074
902	31300	90054
903	31335	90019
904	31373	89994
905	31403	89947
906	31435	89904
907	31471	89873
908	31506	89839
909	31547	89823
910	31581	89788
911	31616	89754
912	31653	89726
913	31689	89693
914	31721	89652
915	31759	89625
916	31792	89588
917	31829	89560
918	31864	89525
919	31896	89482
920	31932	89453
921	31969	89425
922	32001	89382
923	32035	89344
924	32068	89307
925	32108	89286
926	32143	89251
927	32179	89222
928	32210	89176
929	32244	89141
930	32276	89099
931	32311	89063
932	32344	89026
933	32379	88991
934	32414	88957
935	32450	88927
936	32491	88910
937	32524	88870
938	32561	88840
939	32600	88818
940	32634	88781
941	32669	88747
942	32702	88708
943	32738	88677
944	32773	88643
945	32806	88605
946	32837	88561
947	32869	88519
948	32901	88475
949	32928	88421
950	32958	88375
951	32996	88347
952	33032	88318
953	33074	88302
954	33112	88278
955	33148	88244
956	33181	88206
957	33219	88180
958	33258	88156
959	33304	88152
960	33344	88133
961	33379	88097
962	33414	88064
963	33449	88030
964	33488	88007
965	33521	87966
966	33565	87957
967	33604	87934
968	33640	87903
969	33676	87870
970	33719	87857
971	33755	87827
972	33787	87785
973	33821	87748
974	33859	87721
975	33895	87691
976	33931	87658
977	33966	87626
978	34000	87587
979	34037	87559
980	34069	87516
981	34099	87471
982	34135	87439
983	34165	87392
984	34201	87362
985	34235	87324
986	34269	87289
987	34310	87270
988	34350	87247
989	34382	87207
990	34418	87174
991	34452	87138
992	34487	87105
993	34521	87068
994	34559	87040
995	34592	87003
996	34629	86974
997	34666	86944
998	34699	86904
999	34731	86863
1000	34766	86829
1001	34798	86787
1002	34828	86742
1003	34863	86706
1004	34900	86678
1005	34931	86634
1006	34970	86611
1007	35007	86582
1008	35042	86548
1009	35076	86510
1010	35110	86473
1011	35140	86427
1012	35172	86385
1013	35205	86346
1014	35240	86313
1015	35275	86279
1016	35312	86249
1017	35351	86224
1018	35392	86205
1019	35424	86164
1020	35460	86132
1021	35496	86101
1022	35530	86064
1023	35560	86019
1024	35601	85998
1025	35636	85965
1026	35670	85928
1027	35707	85899
1028	35741	85862
1029	35774	85825
1030	35810	85791
1031	35846	85760
1032	35880	85724
1033	35915	85689
1034	35948	85650
1035	35982	85615
1036	36020	85588
1037	36053	85548
1038	36092	85524
1039	36128	85492
1040	36165	85462
1041	36196	85419
1042	36228	85379
1043	36262	85341
1044	36292	85295
1045	36329	85265
1046	36365	85234
1047	36405	85213
1048	36436	85168
1049	36473	85138
1050	36506	85100
1051	36541	85066
1052	36579	85040
1053	36615	85006
1054	36653	84981
1055	36694	84960
1056	36732	84933
1057	36765	84894
1058	36802	84864
1059	36835	84825
1060	36866	84781
1061	36897	84739
1062	36928	84695
1063	36961	84657
1064	36996	84624
1065	37028	84582
1066	37061	84544
1067	37099	84516
1068	37134	84481
1069	37166	84441
1070	37203	84410
1071	37236	84371
1072	37271	84338
1073	37306	84304
1074	37343	84274
1075	37379	84242
1076	37413	84207
1077	37451	84179
1078	37486	84145
1079	37525	84120
1080	37559	84083
1081	37592	84045
1082	37628	84013
1083	37665	83982
1084	37703	83955
1085	37736	83917
1086	37772	83884
1087	37807	83849
1088	37840	83811
1089	37872	83772
1090	37905	83732
1091	37940	83698
1092	37976	83666
1093	38013	83636
1094	38050	83607
1095	38084	83569
1096	38119	83535
1097	38151	83496
1098	38187	83463
1099	38223	83431
1100	38258	83396
1101	38305	83388
1102	38345	83365
1103	38383	83338
1104	38416	83300
1105	38452	83268
1106	38488	83234
1107	38519	83193
1108	38557	83164
1109	38588	83121
1110	38623	83086
1111	38656	83048
1112	38690	83011
1113	38719	82965
1114	38754	82931
1115	38791	82901
1116	38824	82863
1117	38859	82829
1118	38892	82790
1119	38928	82757
1120	38963	82723
1121	38997	82687
1122	39028	82644
1123	39061	82606
1124	39094	82568
1125	39127	82528
1126	39159	82487
1127	39192	82449
1128	39226	82413
1129	39260	82378
1130	39296	82345
1131	39329	82307
1132	39367	82279
1133	39406	82252
1134	39443	82222
1135	39479	82190
1136	39514	82157
1137	39552	82128
1138	39586	82093
1139	39623	82062
1140	39659	82030
1141	39692	81991
1142	39732	81967
1143	39770	81939
1144	39802	81898
1145	39835	81861
1146	39876	81839
1147	39909	81800
1148	39949	81775
1149	39988	81750
1150	40027	81725
1151	40066	81698
1152	40099	81659
1153	40133	81623
1154	40167	81587
1155	40202	81553
1156	40239	81521
1157	40276	81492
1158	40317	81470
1159	40354	81439
1160	40392	81411
1161	40428	81379
1162	40464	81346
1163	40499	81312
1164	40534	81278
1165	40573	81252
1166	40609	81218
1167	40645	81186
1168	40679	81149
1169	40712	81112
1170	40747	81076
1171	40780	81039
1172	40814	81002
1173	40852	80973
1174	40888	80940
1175	40921	80904
1176	40955	80866
1177	40991	80835
1178	41029	80806
1179	41065	80773
1180	41099	80737
1181	41137	80708
1182	41170	80670
1183	41205	80635
1184	41240	80602
1185	41273	80564
1186	41311	80534
1187	41348	80503
1188	41382	80467
1189	41421	80440
1190	41453	80401
1191	41484	80359
1192	41525	80335
1193	41561	80304
1194	41598	80272
1195	41635	80242
1196	41674	80214
1197	41715	80193
1198	41748	80154
1199	41784	80121
1200	41820	80088
1201	41860	80064
1202	41902	80042
1203	41935	80004
1204	41974	79977
1205	42009	79944
1206	42047	79914
1207	42084	79883
1208	42119	79848
1209	42150	79808
1210	42189	79780
1211	42224	79746
1212	42261	79714
1213	42297	79681
1214	42328	79639
1215	42360	79600
1216	42395	79565
1217	42427	79524
1218	42458	79484
1219	42494	79450
1220	42523	79405
1221	42557	79368
1222	42597	79344
1223	42632	79308
1224	42672	79283
1225	42707	79248
1226	42746	79222
1227	42780	79186
1228	42820	79161
1229	42869	79152
1230	42906	79120
1231	42940	79084
1232	42977	79053
1233	43016	79026
1234	43051	78991
1235	43087	78959
1236	43123	78925
1237	43157	78888
1238	43195	78861
1239	43228	78822
1240	43264	78789
1241	43299	78754
1242	43339	78728
1243	43374	78694
1244	43407	78656
1245	43441	78620
1246	43477	78587
1247	43513	78554
1248	43550	78522
1249	43583	78485
1250	43622	78457
1251	43657	78423
1252	43691	78387
1253	43724	78348
1254	43758	78311
1255	43794	78279
1256	43827	78241
1257	43862	78206
1258	43899	78175
1259	43930	78134
1260	43968	78105
1261	44005	78073
1262	44041	78039
1263	44074	78001
1264	44108	77965
1265	44141	77926
1266	44174	77888
1267	44205	77847
1268	44240	77813
1269	44275	77778
1270	44311	77745
1271	44345	77709
1272	44380	77675
1273	44416	77641
1274	44452	77609
1275	44492	77582
1276	44529	77552
1277	44568	77524
1278	44605	77492
1279	44637	77453
1280	44675	77423
1281	44710	77389
1282	44745	77354
1283	44783	77325
1284	44818	77289
1285	44854	77256
1286	44894	77231
1287	44931	77199
1288	44964	77161
1289	44998	77125
1290	45032	77089
1291	45067	77054
1292	45098	77013
1293	45137	76984
1294	45171	76949
1295	45207	76914
1296	45240	76877
1297	45273	76839
1298	45308	76804
1299	45340	76765
1300	45379	76736
1301	45412	76698
1302	45445	76661
1303	45477	76620
1304	45513	76587
1305	45552	76559
1306	45587	76525
1307	45620	76488
1308	45659	76459
1309	45697	76429
1310	45733	76396
1311	45769	76364
1312	45802	76326
1313	45848	76309
1314	45889	76284
1315	45932	76264
1316	45972	76237
1317	46009	76206
1318	46042	76168
1319	46080	76137
1320	46120	76111
1321	46161	76085
1322	46202	76061
1323	46236	76025
1324	46272	75991
1325	46309	75960
1326	46350	75935
1327	46388	75905
1328	46423	75870
1329	46459	75837
1330	46498	75808
1331	46532	75771
1332	46564	75732
1333	46599	75697
1334	46629	75655
1335	46662	75616
1336	46695	75578
1337	46730	75543
1338	46765	75510
1339	46806	75484
1340	46842	75451
1341	46879	75419
1342	46917	75390
1343	46954	75357
1344	46993	75329
1345	47031	75298
1346	47067	75266
1347	47100	75227
1348	47139	75199
1349	47182	75177
1350	47218	75144
1351	47258	75116
1352	47295	75085
1353	47331	75052
1354	47369	75021
1355	47404	74987
1356	47440	74953
1357	47475	74919
1358	47510	74883
1359	47547	74852
1360	47583	74818
1361	47622	74790
1362	47657	74755
1363	47693	74721
1364	47723	74679
1365	47757	74642
1366	47794	74611
1367	47829	74575
1368	47866	74544
1369	47901	74510
1370	47939	74478
1371	47974	74444
1372	48009	74409
1373	48047	74379
1374	48083	74346
1375	48122	74317
1376	48159	74284
1377	48197	74254
1378	48237	74227
1379	48271	74190
1380	48309	74160
1381	48347	74130
1382	48383	74096
1383	48416	74058
1384	48451	74023
1385	48485	73987
1386	48519	73951
1387	48550	73909
1388	48587	73877
1389	48621	73842
1390	48661	73814
1391	48697	73780
1392	48728	73740
1393	48763	73705
1394	48802	73676
1395	48841	73647
1396	48883	73623
1397	48924	73597
1398	48963	73568
1399	48999	73534
1400	49049	73522
1401	49093	73499
1402	49126	73461
1403	49162	73428
1404	49200	73398
1405	49243	73375
1406	49289	73355
1407	49323	73320
1408	49357	73283
1409	49396	73254
1410	49434	73222
1411	49473	73194
1412	49506	73156
1413	49542	73122
1414	49575	73084
1415	49612	73052
1416	49643	73010
1417	49679	72977
1418	49715	72944
1419	49755	72916
1420	49794	72887
1421	49832	72856
1422	49869	72824
1423	49905	72790
1424	49944	72761
1425	49977	72722
1426	50014	72691
1427	50049	72655
1428	50081	72615
1429	50120	72587
1430	50167	72569
1431	50205	72538
1432	50238	72500
1433	50275	72468
1434	50305	72425
1435	50341	72392
1436	50374	72354
1437	50417	72331
1438	50453	72297
1439	50487	72260
1440	50521	72223
1441	50555	72187
1442	50590	72151
1443	50625	72117
1444	50661	72083
1445	50699	72052
1446	50735	72017
1447	50769	71982
1448	50803	71944
1449	50838	71910
1450	50871	71872
1451	50905	71836
1452	50943	71804
1453	50979	71771
1454	51013	71733
1455	51045	71694
1456	51077	71655
1457	51112	71621
1458	51148	71586
1459	51185	71554
1460	51218	71516
1461	51257	71486
1462	51290	71448
1463	51323	71410
1464	51358	71375
1465	51391	71338
1466	51424	71299
1467	51458	71263
1468	51493	71228
1469	51527	71191
1470	51560	71154
1471	51592	71114
1472	51626	71078
1473	51661	71043
1474	51699	71012
1475	51730	70972
1476	51766	70938
1477	51800	70901
1478	51834	70864
1479	51866	70825
1480	51907	70799
1481	51941	70762
1482	51978	70730
1483	52018	70701
1484	52059	70674
1485	52104	70652
1486	52165	70653
1487	52204	70623
1488	52241	70590
1489	52281	70561
1490	52321	70534
1491	52359	70502
1492	52393	70466
1493	52430	70433
1494	52469	70404
1495	52509	70374
1496	52549	70347
1497	52584	70311
1498	52622	70280
1499	52656	70243
1500	52692	70210
1501	52736	70186
1502	52778	70160
1503	52810	70121
1504	52847	70089
1505	52889	70063
1506	52929	70033
1507	52963	69997
1508	52997	69961
1509	53032	69926
1510	53067	69890
1511	53101	69853
1512	53135	69816
1513	53165	69774
1514	53200	69740
1515	53234	69703
1516	53266	69664
1517	53298	69624
1518	53332	69589
1519	53372	69559
1520	53412	69530
1521	53448	69497
1522	53480	69458
1523	53522	69431
1524	53556	69395
1525	53593	69363
1526	53630	69329
1527	53666	69296
1528	53702	69261
1529	53737	69226
1530	53777	69197
1531	53813	69163
1532	53848	69127
1533	53888	69099
1534	53921	69062
1535	53955	69024
1536	53989	68989
1537	54025	68955
1538	54058	68916
1539	54092	68880
1540	54126	68843
1541	54164	68812
1542	54205	68783
1543	54239	68747
1544	54273	68710
1545	54314	68683
1546	54352	68652
1547	54395	68627
1548	54431	68592
1549	54464	68554
1550	54501	68522
1551	54538	68488
1552	54573	68454
1553	54607	68417
1554	54641	68380
1555	54676	68345
1556	54711	68310
1557	54749	68278
1558	54790	68251
1559	54829	68220
1560	54865	68185
1561	54899	68149
1562	54930	68110
1563	54963	68072
1564	54997	68035
1565	55029	67996
1566	55063	67959
1567	55102	67928
1568	55135	67891
1569	55171	67856
1570	55208	67824
1571	55247	67794
1572	55280	67756
1573	55315	67721
1574	55349	67684
1575	55381	67645
1576	55413	67606
1577	55448	67571
1578	55485	67538
1579	55522	67506
1580	55561	67474
1581	55596	67439
1582	55633	67406
1583	55670	67374
1584	55702	67334
1585	55738	67301
1586	55772	67263
1587	55808	67230
1588	55845	67197
1589	55883	67165
1590	55917	67129
1591	55952	67093
1592	55987	67057
1593	56018	67018
1594	56053	66983
1595	56090	66949
1596	56126	66915
1597	56160	66879
1598	56197	66846
1599	56230	66809
1600	56267	66775
1601	56299	66737
1602	56335	66702
1603	56374	66672
1604	56408	66636
1605	56441	66598
1606	56475	66561
1607	56512	66528
1608	56552	66499
1609	56586	66462
1610	56623	66429
1611	56659	66395
1612	56693	66359
1613	56729	66325
1614	56769	66296
1615	56805	66260
1616	56836	66221
1617	56872	66186
1618	56904	66148
1619	56938	66111
1620	56974	66077
1621	57007	66040
1622	57042	66004
1623	57079	65971
1624	57114	65936
1625	57151	65903
1626	57186	65867
1627	57218	65829
1628	57259	65800
1629	57291	65762
1630	57328	65729
1631	57360	65689
1632	57392	65651
1633	57428	65617
1634	57470	65590
1635	57505	65554
1636	57542	65522
1637	57580	65489
1638	57621	65461
1639	57663	65433
1640	57696	65396
1641	57735	65365
1642	57771	65331
1643	57803	65292
1644	57834	65252
1645	57864	65211
1646	57898	65175
1647	57935	65141
1648	57966	65102
1649	57998	65064
1650	58032	65027
1651	58065	64990
1652	58098	64952
1653	58131	64914
1654	58166	64879
1655	58198	64840
1656	58232	64804
1657	58270	64772
1658	58316	64749
1659	58349	64711
1660	58385	64677
1661	58418	64639
1662	58451	64601
1663	58487	64568
1664	58524	64535
