Feature,Mean |SHAP|
sleep_duration,2.4509120458117595
stress_level,1.7527536299428785
bmi,0.8735901133436788
exercise_sleep_ratio,0.33192020872957395
water_intake,0.2796178871507206
smoking_alcohol,0.24842306144794346
steps_per_minute,0.2104045653059376
heart_rate,0.20945734946215208
physical_activity_level,0.20456643857121126
calories_per_step,0.18333454614021172
exercise_duration,0.17825428321776846
bmi_sleep,0.1779756354774454
water_per_exercise,0.1528593406305066
heart_activity,0.15178121967106303
stress_sleep,0.150381477539208
health_index,0.14876401130278075
smoking_stress,0.13317172962261667
activity_diet,0.12081614953326275
hydration_score,0.11405616680970043
calories_per_minute,0.1117087212251326
gender_activity,0.10846676758906013
activity_score,0.10638168981842303
calorie_expenditure,0.10206751489182332
heart_steps,0.09503288749863784
step_count,0.08737469936899607
activity_density,0.0735855263748824
diet_smoking,0.06366270196222218
bmi_water,0.0629398921579811
gender,0.038302646460011504
diet_type,0.03774272795679498
sleep_quality,0.030312118296634247
bmi_category,0.008320656261070042
bmi_risk,0.0026819186003197637
